experiment_id,interval,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C,interval_charge_mAh,interval_energy_mWh,average_current_mA,average_power_mW,running_charge_mAh,running_energy_mWh
2,91,66.094,13.133008,337.176,4428.096,28.3125,7.140596667,93.767452444,388.933156,5107.314262,342.809357778,4468.465777778
2,92,60.0,13.127734,319.688,4196.7616,28.3594,5.322878889,69.887772444,319.372733,4193.266347,348.132236667,4538.353550222
2,93,60.0,13.110938,247.256,3241.7152,28.375,4.704768889,61.723420444,282.286133,3703.405227,352.837005556,4600.076970667
2,94,60.0,13.093164,203.404,2663.168,28.4375,3.669983333,48.076913778,220.199,2884.614827,356.506988889,4648.153884444
2,95,60.0,13.085352,204.26,2672.8064,28.4531,3.312277778,43.347228444,198.736667,2600.833707,359.819266667,4691.501112889
