experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2,5564.042,13.116797,265.128,3477.5808,28.3672
2,5565.041,13.116016,264.372,3467.5072,28.375
2,5566.043,13.115625,263.876,3460.9024,28.375
2,5567.042,13.11543,261.716,3432.4992,28.375
2,5568.044,13.115234,260.924,3422.08,28.375
2,5569.043,13.114844,260.468,3416.0,28.375
2,5570.045,13.114453,258.76,3393.4976,28.375
2,5571.044,13.114063,257.896,3382.0288,28.375
2,5572.046,13.113672,256.048,3357.7216,28.375
2,5573.045,13.113477,254.744,3340.5824,28.3672
2,5574.047,13.112695,254.464,3336.7168,28.3672
2,5575.046,13.112695,252.348,3308.9408,28.3672
2,5576.048,13.112305,250.732,3287.68,28.3672
2,5577.047,13.112305,250.9,3289.856,28.3672
2,5578.049,13.111914,249.024,3265.1392,28.375
2,5579.048,13.111133,247.204,3241.1264,28.375
2,5580.046,13.110938,247.256,3241.7152,28.375
2,5581.045,13.110352,245.624,3220.2368,28.375
2,5582.047,13.109961,243.772,3195.8784,28.375
2,5583.046,13.10957,243.996,3198.7072,28.375
2,5584.048,13.10957,243.096,3186.88,28.375
2,5585.047,13.10918,241.24,3162.4448,28.375
2,5586.049,13.108789,240.992,3159.104,28.375
2,5587.048,13.108594,240.34,3150.4768,28.375
2,5588.05,13.108203,238.044,3120.3456,28.375
2,5589.049,13.107813,237.876,3118.0288,28.375
2,5590.051,13.107617,237.62,3114.5856,28.375
2,5591.05,13.107031,232.704,3050.304,28.3828
2,5592.052,13.106836,236.044,3093.7856,28.3828
2,5593.051,13.106641,233.508,3060.5056,28.3828
2,5594.053,13.10625,232.488,3047.0656,28.3906
2,5595.052,13.105859,232.584,3048.2432,28.3906
2,5596.054,13.105664,227.06,2976.0,28.3906
2,5597.053,13.105273,229.872,3012.5568,28.3906
2,5598.055,13.104883,229.888,3012.6464,28.3906
2,5599.054,13.104492,228.1,2989.1072,28.3906
2,5600.056,13.104102,226.924,2973.6064,28.3906
2,5601.055,13.103906,227.172,2976.8192,28.3984
2,5602.057,13.103516,225.536,2955.2896,28.3984
2,5603.056,13.10332,223.764,2932.0704,28.3984
2,5604.058,13.103125,224.404,2940.4032,28.3984
2,5605.057,13.102539,222.824,2919.5648,28.4063
2,5606.059,13.102148,221.48,2901.8368,28.4063
2,5607.058,13.101758,221.98,2908.3008,28.4063
2,5608.06,13.101758,220.612,2890.3808,28.4063
2,5609.059,13.101172,218.968,2868.7104,28.4141
2,5610.061,13.101172,219.384,2874.1504,28.4141
2,5611.06,13.100586,218.484,2862.2464,28.4141
2,5612.062,13.100391,217.744,2852.5184,28.4141
2,5613.061,13.100195,213.78,2800.7424,28.4141
2,5614.063,13.099609,211.592,2772.032,28.4141
2,5615.062,13.099609,214.976,2816.1152,28.4141
2,5616.064,13.099023,214.864,2814.5024,28.4141
2,5617.063,13.098828,213.056,2790.784,28.4219
2,5618.065,13.098633,213.056,2790.7712,28.4219
2,5619.064,13.098242,212.632,2785.0752,28.4219
2,5620.066,13.097852,210.604,2758.4512,28.4219
2,5621.065,13.097656,210.46,2756.5184,28.4219
2,5622.067,13.097266,211.1,2764.8256,28.4297
2,5623.066,13.096875,208.876,2735.616,28.4297
2,5624.068,13.096484,208.572,2731.5584,28.4297
2,5625.067,13.096484,209.292,2740.9408,28.4297
2,5626.069,13.096094,207.912,2722.8416,28.4297
2,5627.068,13.095898,206.52,2704.5888,28.4375
2,5628.07,13.095703,206.972,2710.4256,28.4375
2,5629.069,13.095117,206.452,2703.5136,28.4375
2,5630.071,13.094922,202.948,2657.8432,28.4375
2,5631.07,13.094531,206.66,2706.112,28.4375
2,5632.072,13.094531,205.712,2693.7088,28.4375
2,5633.071,13.094531,204.296,2692.7104,28.4375
2,5634.073,13.094336,204.964,2683.8656,28.4375
2,5635.072,13.093945,203.472,2664.2432,28.4375
2,5636.074,13.09375,204.692,2680.1792,28.4375
2,5637.073,13.093555,204.3,2674.9952,28.4375
2,5638.075,13.093359,202.4,2650.0864,28.4375
2,5639.074,13.093164,203.592,2665.6384,28.4375
2,5640.072,13.093164,203.404,2663.168,28.4375
2,5641.071,13.092578,201.968,2644.2752,28.4375
2,5642.073,13.092188,202.224,2647.552,28.4375
2,5643.072,13.091992,201.992,2644.4928,28.4375
2,5644.074,13.091797,200.888,2629.9776,28.4375
2,5645.073,13.091406,200.728,2627.776,28.4375
2,5646.075,13.091406,201.292,2635.1872,28.4375
2,5647.074,13.091211,199.744,2614.912,28.4375
2,5648.076,13.09082,196.696,2575.1552,28.4453
2,5649.075,13.091016,200.212,2620.9792,28.4453
2,5650.077,13.090234,198.792,2602.24,28.4453
2,5651.076,13.090234,198.256,2595.2128,28.4453
2,5652.078,13.090234,199.052,2605.5936,28.4453
2,5653.077,13.089648,193.048,2527.4496,28.4453
2,5654.079,13.089258,197.66,2587.2,28.4453
2,5655.078,13.089258,195.38,2557.6704,28.4453
2,5656.08,13.089453,197.332,2582.9504,28.4453
2,5657.079,13.089453,198.476,2597.9136,28.4453
2,5658.081,13.089063,197.756,2588.4544,28.4531
2,5659.08,13.089258,196.676,2574.336,28.4453
2,5660.082,13.088867,197.82,2589.2352,28.4453
2,5661.081,13.088477,196.9,2577.1136,28.4531
2,5662.083,13.088281,195.3,2556.1216,28.4453
2,5663.082,13.088086,196.584,2572.9152,28.4531
2,5664.084,13.087891,196.512,2571.9296,28.4531
2,5665.083,13.087891,195.452,2558.0416,28.4531
2,5666.085,13.087695,196.3,2569.088,28.4531
2,5667.084,13.087305,196.728,2574.656,28.4531
