experiment_id,interval,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C,interval_charge_mAh,interval_energy_mWh,average_current_mA,average_power_mW,running_charge_mAh,running_energy_mWh
2,20,60.0,12.946484,128.8,1667.52,26.1563,2.446125556,31.682389333,146.767533,1900.94336,86.407907778,1121.464149333
2,21,60.0,12.937891,115.068,1488.9216,26.1719,1.988776667,25.736419556,119.3266,1544.185173,88.396684444,1147.200568889
2,22,60.0,12.9375,131.352,1699.328,26.1797,2.027378889,26.226119111,121.642733,1573.567147,90.424063333,1173.426688
2,23,60.0,12.932422,112.804,1458.8416,26.2344,2.02545,26.196935111,121.527,1571.816107,92.449513333,1199.623623111
2,24,60.0,12.931445,119.836,1549.6576,26.3203,1.963877778,25.393152,117.832667,1523.58912,94.413391111,1225.016775111
2,25,60.0,12.927344,108.328,1400.7168,26.4141,1.868915556,24.160881778,112.134933,1449.652907,96.282306667,1249.177656889
2,26,60.0,12.924805,102.4,1323.52,26.4531,1.830418889,23.657016889,109.825133,1419.421013,98.112725556,1272.834673778
2,28,60.0,12.924805,116.912,1511.0656,26.4922,1.916713333,24.766407111,115.0028,1485.984427,101.662272222,1318.696504889
