2,5761.001,13.109961,250.64,3285.9008,28.7188
2,5762.001,13.10957,245.652,3220.672,28.7188
2,5763.001,13.109766,250.672,3286.2464,28.7188
2,5764.001,13.110156,254.02,3330.2144,28.7188
2,5765.001,13.109961,255.628,3351.2576,28.7188
2,5766.001,13.110156,252.948,3316.48,28.7266
2,5767.001,13.110547,255.896,3354.9696,28.7266
2,5768.001,13.110742,256.296,3360.2304,28.7188
2,5769.001,13.110352,255.48,3349.44,28.7266
2,5770.001,13.110547,256.02,3356.544,28.7188
2,5771.001,13.110742,258.116,3367.5648,28.7188
2,5772.001,13.110938,257.804,3380.0448,28.7188
2,5773.001,13.110547,254.36,3335.0016,28.7188
2,5774.001,13.110742,258.336,3386.9696,28.7266
2,5775.001,13.111133,258.908,3394.5728,28.7266
2,5776.001,13.110938,259.972,3408.512,28.7266
2,5777.001,13.111328,260.58,3416.5248,28.7266
2,5778.001,13.111133,257.964,3382.1696,28.7266
2,5779.001,13.111328,256.028,3357.1968,28.7188
2,5780.001,13.111328,260.476,3415.2064,28.7188
2,5781.001,13.111133,256.56,3363.7632,28.7266
2,5782.001,13.111523,259.436,3401.5872,28.7344
2,5783.001,13.111328,259.52,3402.6752,28.7266
2,5784.001,13.111328,254.676,3339.3664,28.7266
2,5785.001,13.111523,259.124,3397.5168,28.7266
2,5786.001,13.111914,260.512,3415.7952,28.7266
2,5787.001,13.111719,261.932,3434.368,28.7344
2,5788.001,13.111914,264.456,3467.5584,28.7344
2,5789.001,13.112109,264.476,3467.8144,28.7344
2,5790.001,13.112109,261.272,3425.856,28.7344
2,5791.001,13.1125,264.892,3473.3696,28.7422
2,5792.001,13.1125,264.228,3464.6912,28.7344
2,5793.001,13.112695,266.02,3488.192,28.7422
2,5794.001,13.112695,266.184,3490.4192,28.7422
2,5795.001,13.112695,264.176,3464.064,28.7344
2,5796.001,13.112891,263.944,3461.0432,28.7344
2,5797.001,13.112695,261.94,3434.9952,28.7422
2,5798.001,13.112695,264.328,3466.048,28.7422
2,5799.001,13.112891,264.66,3470.4512,28.7422
2,5800.001,13.113086,265.172,3477.248,28.7422
2,5801.001,13.112695,263.248,3451.8784,28.75
2,5802.001,13.112695,259.44,3401.984,28.75
2,5803.001,13.112891,261.072,3423.3728,28.7422
2,5804.001,13.112695,260.316,3413.44,28.75
2,5805.001,13.1125,257.952,3382.4,28.7422
2,5806.001,13.112305,256.756,3366.656,28.7422
2,5807.001,13.112109,254.604,3338.4064,28.7422
2,5761.001,13.116797,252.004,3305.4464,29.5078
2,5762.001,13.116797,253.448,3324.4672,29.5078
2,5763.001,13.117188,255.544,3352.0,29.5078
2,5764.001,13.116992,253.816,3329.28,29.5078
2,5765.001,13.117383,254.98,3344.64,29.5078
2,5766.001,13.117188,255.46,3350.9248,29.5078
