experiment_id,interval,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C,interval_charge_mAh,interval_energy_mWh,average_current_mA,average_power_mW,running_charge_mAh,running_energy_mWh
2,77,60.003,13.102539,353.764,4635.2256,28.2813,5.774903333,75.657045333,346.476876,4539.19576,263.619415556,3430.581646222
2,78,60.0,13.106641,363.912,4769.6384,28.375,5.95191,77.988579556,357.1146,4679.314773,269.571325556,3508.570225778
2,79,63.744,13.097852,312.64,4094.912,28.4375,6.024493333,78.939648,340.238705,4458.187952,275.595818889,3587.509873778
2,80,60.0,13.08418,274.048,3585.6768,28.5,4.761178889,62.322858667,285.670733,3739.37152,280.356997778,3649.832732444
2,81,60.0,13.092773,318.288,4167.2448,28.3359,5.106536667,66.837504,306.3922,4010.25024,285.463534444,3716.670236444
2,82,60.0,13.103906,352.108,4613.9392,28.2188,5.698031111,74.635150222,341.881867,4478.109013,291.161565556,3791.305386667
2,83,60.0,13.10625,345.352,4526.208,28.2031,5.785267778,75.813717333,347.116067,4548.82304,296.946833333,3867.119104
