captured_at,experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2026-09-09T13:29:55.282570-07:00,2,7605.065,13.084961,161.048,2107.3152,30.6875
2026-09-09T13:29:56.285069-07:00,2,7606.067,13.08457,156.988,2054.4128,30.6797
2026-09-09T13:29:57.283508-07:00,2,7607.066,13.084961,159.008,2080.6016,30.6797
2026-09-09T13:29:58.286366-07:00,2,7608.068,13.084375,159.776,2090.56,30.6797
2026-09-09T13:29:59.286606-07:00,2,7609.067,13.084375,158.836,2078.2592,30.6875
2026-09-09T13:30:00.286797-07:00,2,7610.069,13.084375,159.204,2083.0976,30.6875
2026-09-09T13:30:01.286423-07:00,2,7611.068,13.084375,161.02,2106.816,30.6875
2026-09-09T13:30:02.287479-07:00,2,7612.07,13.08457,160.968,2106.1632,30.6875
2026-09-09T13:30:03.287053-07:00,2,7613.069,13.08457,161.92,2118.6432,30.6953
2026-09-09T13:30:04.288176-07:00,2,7614.071,13.08457,164.424,2151.3984,30.6953
2026-09-09T13:30:05.287215-07:00,2,7615.07,13.08457,164.196,2148.4544,30.6953
2026-09-09T13:30:06.289169-07:00,2,7616.072,13.084766,163.424,2138.368,30.6953
2026-09-09T13:30:07.288162-07:00,2,7617.071,13.084961,164.444,2151.744,30.6953
2026-09-09T13:30:08.290110-07:00,2,7618.073,13.084766,163.32,2136.9728,30.6953
2026-09-09T13:30:09.289549-07:00,2,7619.072,13.084766,163.38,2137.7664,30.6953
2026-09-09T13:30:10.297570-07:00,2,7620.07,13.084766,162.24,2122.8672,30.7031
2026-09-09T13:30:11.290543-07:00,2,7621.069,13.084375,161.216,2109.4144,30.7031
2026-09-09T13:30:12.293122-07:00,2,7622.071,13.084766,162.412,2125.1072,30.7031
2026-09-09T13:30:13.291157-07:00,2,7623.07,13.084375,162.444,2125.4912,30.7031
2026-09-09T13:30:14.293133-07:00,2,7624.072,13.08457,160.896,2105.2672,30.7031
2026-09-09T13:30:15.292193-07:00,2,7625.071,13.084375,161.488,2112.96,30.7031
2026-09-09T13:30:16.294128-07:00,2,7626.073,13.08457,160.832,2104.4224,30.7109
2026-09-09T13:30:17.293192-07:00,2,7627.072,13.08418,158.3,2071.2192,30.7109
2026-09-09T13:30:18.295114-07:00,2,7628.074,13.08418,157.704,2063.3856,30.7109
2026-09-09T13:30:19.294236-07:00,2,7629.073,13.083594,156.656,2049.6256,30.7109
2026-09-09T13:30:20.296176-07:00,2,7630.075,13.083398,153.408,2007.1168,30.7109
2026-09-09T13:30:21.295189-07:00,2,7631.074,13.083008,151.92,1987.584,30.7109
2026-09-09T13:30:22.297147-07:00,2,7632.076,13.082813,150.544,1969.5232,30.7109
2026-09-09T13:30:23.296224-07:00,2,7633.075,13.082422,147.212,1925.9136,30.7188
2026-09-09T13:30:24.299333-07:00,2,7634.077,13.082227,145.528,1903.8464,30.7188
2026-09-09T13:30:25.297190-07:00,2,7635.076,13.081836,145.048,1897.4976,30.7188
2026-09-09T13:30:26.299187-07:00,2,7636.078,13.081445,143.012,1870.8224,30.7188
2026-09-09T13:30:27.298244-07:00,2,7637.077,13.08125,142.764,1867.5584,30.7188
2026-09-09T13:30:28.300838-07:00,2,7638.079,13.081055,143.668,1879.3216,30.7266
2026-09-09T13:30:29.299931-07:00,2,7639.078,13.081055,143.052,1871.296,30.7266
2026-09-09T13:30:30.302660-07:00,2,7640.08,13.081055,143.884,1882.1632,30.7266
2026-09-09T13:30:31.300247-07:00,2,7641.079,13.080469,140.132,1833.0112,30.7266
2026-09-09T13:30:32.303343-07:00,2,7642.081,13.080469,142.584,1865.088,30.7188
2026-09-09T13:30:33.301594-07:00,2,7643.08,13.080273,143.836,1881.4208,30.7266
2026-09-09T13:30:34.307272-07:00,2,7644.082,13.080273,143.516,1877.2224,30.7266
2026-09-09T13:30:35.302893-07:00,2,7645.081,13.080078,142.9,1869.12,30.7266
2026-09-09T13:30:36.304209-07:00,2,7646.083,13.080078,144.104,1884.8384,30.7266
2026-09-09T13:30:37.303994-07:00,2,7647.082,13.079883,143.96,1882.9952,30.7266
2026-09-09T13:30:38.306550-07:00,2,7648.084,13.080078,142.772,1867.4816,30.7266
2026-09-09T13:30:39.306659-07:00,2,7649.083,13.079688,143.248,1873.6256,30.7266
2026-09-09T13:30:40.307156-07:00,2,7650.085,13.079492,143.968,1883.0336,30.7266
2026-09-09T13:30:41.305272-07:00,2,7651.084,13.079883,143.044,1871.0016,30.7266
2026-09-09T13:30:42.307404-07:00,2,7652.086,13.079492,144.236,1886.528,30.7266
2026-09-09T13:30:43.307305-07:00,2,7653.085,13.079492,145.58,1904.0896,30.7266
2026-09-09T13:30:44.308629-07:00,2,7654.087,13.079492,145.856,1907.7376,30.7344
2026-09-09T13:30:45.308169-07:00,2,7655.086,13.079688,148.48,1942.0288,30.7266
2026-09-09T13:30:46.309319-07:00,2,7656.088,13.079883,151.62,1983.1424,30.7266
2026-09-09T13:30:47.308700-07:00,2,7657.087,13.080078,152.912,2000.0768,30.7266
2026-09-09T13:30:48.311093-07:00,2,7658.089,13.080078,155.132,2029.1712,30.7344
2026-09-09T13:30:49.309265-07:00,2,7659.088,13.080469,157.42,2059.1104,30.7344
2026-09-09T13:30:50.311243-07:00,2,7660.09,13.080664,157.164,2055.8208,30.7344
2026-09-09T13:30:51.310218-07:00,2,7661.089,13.080469,158.216,2069.504,30.7344
2026-09-09T13:30:52.312737-07:00,2,7662.091,13.080469,156.892,2052.2112,30.7344
2026-09-09T13:30:53.312083-07:00,2,7663.09,13.080664,156.14,2042.4064,30.7266
2026-09-09T13:30:54.314289-07:00,2,7664.092,13.080664,155.064,2028.3392,30.7344
2026-09-09T13:30:55.313776-07:00,2,7665.091,13.080664,154.864,2026.0608,30.7344
2026-09-09T13:30:56.314276-07:00,2,7666.093,13.080664,156.976,2053.3376,30.7344
2026-09-09T13:30:57.313335-07:00,2,7667.092,13.080859,158.396,2071.9744,30.7422
2026-09-09T13:30:58.316120-07:00,2,7668.094,13.080859,158.124,2068.3648,30.7422
2026-09-09T13:30:59.314725-07:00,2,7669.093,13.080664,156.968,2053.2224,30.7344
2026-09-09T13:31:00.316596-07:00,2,7670.095,13.080664,157.296,2057.5488,30.7344
